# Z, symbol, massno, amu
1, H, 1, 1.00782503223
1, D, 2, 2.01410177812
1, T, 3, 3.0160492779
2, He, 3, 3.0160293201
2, He, 4, 4.00260325413
3, Li, 6, 6.0151228874
3, Li, 7, 7.0160034366
4, Be, 9, 9.012183065
5, B, 10, 10.01293695
5, B, 11, 11.00930536
6, C, 12, 12.0
6, C, 13, 13.00335483507
6, C, 14, 14.0032419884
7, N, 14, 14.00307400443
7, N, 15, 15.00010889888
8, O, 16, 15.99491461957
8, O, 17, 16.9991317565
8, O, 18, 17.99915961286
9, F, 19, 18.99840316273
10, Ne, 20, 19.9924401762
10, Ne, 21, 20.993846685
10, Ne, 22, 21.991385114
11, Na, 23, 22.989769282
12, Mg, 24, 23.985041697
12, Mg, 25, 24.985836976
12, Mg, 26, 25.982592968
13, Al, 27, 26.98153853
14, Si, 28, 27.97692653465
14, Si, 29, 28.9764946649
14, Si, 30, 29.973770136
15, P, 31, 30.97376199842
16, S, 32, 31.9720711744
16, S, 33, 32.9714589098
16, S, 34, 33.967867004
16, S, 36, 35.96708071
17, Cl, 35, 34.968852682
17, Cl, 37, 36.965902602
18, Ar, 36, 35.967545105
18, Ar, 38, 37.96273211
18, Ar, 40, 39.9623831237
19, K, 39, 38.9637064864
19, K, 40, 39.963998166
19, K, 41, 40.9618252579
20, Ca, 40, 39.962590863
20, Ca, 42, 41.95861783
20, Ca, 43, 42.95876644
20, Ca, 44, 43.95548156
20, Ca, 46, 45.953689
20, Ca, 48, 47.95252276
21, Sc, 45, 44.95590828
22, Ti, 46, 45.95262772
22, Ti, 47, 46.95175879
22, Ti, 48, 47.94794198
22, Ti, 49, 48.94786568
22, Ti, 50, 49.94478689
23, V, 50, 49.94715601
23, V, 51, 50.94395704
24, Cr, 50, 49.94604183
24, Cr, 52, 51.94050623
24, Cr, 53, 52.94064815
24, Cr, 54, 53.93887916
25, Mn, 55, 54.93804391
26, Fe, 54, 53.93960899
26, Fe, 56, 55.93493633
26, Fe, 57, 56.93539284
26, Fe, 58, 57.93327443
27, Co, 59, 58.93319429
28, Ni, 58, 57.93534241
28, Ni, 60, 59.93078588
28, Ni, 61, 60.93105557
28, Ni, 62, 61.92834537
28, Ni, 64, 63.92796682
29, Cu, 63, 62.92959772
29, Cu, 65, 64.9277897
30, Zn, 64, 63.92914201
30, Zn, 66, 65.92603381
30, Zn, 67, 66.92712775
30, Zn, 68, 67.92484455
30, Zn, 70, 69.9253192
31, Ga, 69, 68.9255735
31, Ga, 71, 70.92470258
32, Ge, 70, 69.92424875
32, Ge, 72, 71.922075826
32, Ge, 73, 72.923458956
32, Ge, 74, 73.921177761
32, Ge, 76, 75.921402726
33, As, 75, 74.92159457
34, Se, 74, 73.922475934
34, Se, 76, 75.919213704
34, Se, 77, 76.919914154
34, Se, 78, 77.91730928
34, Se, 80, 79.9165218
34, Se, 82, 81.9166995
35, Br, 79, 78.9183376
35, Br, 81, 80.9162897
36, Kr, 78, 77.92036494
36, Kr, 80, 79.91637808
36, Kr, 82, 81.91348273
36, Kr, 83, 82.91412716
36, Kr, 84, 83.9114977282
36, Kr, 86, 85.9106106269
37, Rb, 85, 84.9117897379
37, Rb, 87, 86.909180531
38, Sr, 84, 83.9134191
38, Sr, 86, 85.9092606
38, Sr, 87, 86.9088775
38, Sr, 88, 87.9056125
39, Y, 89, 88.9058403
40, Zr, 90, 89.9046977
40, Zr, 91, 90.9056396
40, Zr, 92, 91.9050347
40, Zr, 94, 93.9063108
40, Zr, 96, 95.9082714
41, Nb, 93, 92.906373
42, Mo, 92, 91.90680796
42, Mo, 94, 93.9050849
42, Mo, 95, 94.90583877
42, Mo, 96, 95.90467612
42, Mo, 97, 96.90601812
42, Mo, 98, 97.90540482
42, Mo, 100, 99.9074718
43, Tc, 97, 96.9063667
43, Tc, 98, 97.9072124
43, Tc, 99, 98.9062508
44, Ru, 96, 95.90759025
44, Ru, 98, 97.9052868
44, Ru, 99, 98.9059341
44, Ru, 100, 99.9042143
44, Ru, 101, 100.9055769
44, Ru, 102, 101.9043441
44, Ru, 104, 103.9054275
45, Rh, 103, 102.905498
46, Pd, 102, 101.9056022
46, Pd, 104, 103.9040305
46, Pd, 105, 104.9050796
46, Pd, 106, 105.9034804
46, Pd, 108, 107.9038916
46, Pd, 110, 109.9051722
47, Ag, 107, 106.9050916
47, Ag, 109, 108.9047553
48, Cd, 106, 105.9064599
48, Cd, 108, 107.9041834
48, Cd, 110, 109.90300661
48, Cd, 111, 110.90418287
48, Cd, 112, 111.90276287
48, Cd, 113, 112.90440813
48, Cd, 114, 113.90336509
48, Cd, 116, 115.90476315
49, In, 113, 112.90406184
49, In, 115, 114.903878776
50, Sn, 112, 111.90482387
50, Sn, 114, 113.9027827
50, Sn, 115, 114.903344699
50, Sn, 116, 115.9017428
50, Sn, 117, 116.90295398
50, Sn, 118, 117.90160657
50, Sn, 119, 118.90331117
50, Sn, 120, 119.90220163
50, Sn, 122, 121.9034438
50, Sn, 124, 123.9052766
51, Sb, 121, 120.903812
51, Sb, 123, 122.9042132
52, Te, 120, 119.9040593
52, Te, 122, 121.9030435
52, Te, 123, 122.9042698
52, Te, 124, 123.9028171
52, Te, 125, 124.9044299
52, Te, 126, 125.9033109
52, Te, 128, 127.90446128
52, Te, 130, 129.906222748
53, I, 127, 126.9044719
54, Xe, 124, 123.905892
54, Xe, 126, 125.9042983
54, Xe, 128, 127.903531
54, Xe, 129, 128.9047808611
54, Xe, 130, 129.903509349
54, Xe, 131, 130.90508406
54, Xe, 132, 131.9041550856
54, Xe, 134, 133.90539466
54, Xe, 136, 135.907214484
55, Cs, 133, 132.905451961
56, Ba, 130, 129.9063207
56, Ba, 132, 131.9050611
56, Ba, 134, 133.90450818
56, Ba, 135, 134.90568838
56, Ba, 136, 135.90457573
56, Ba, 137, 136.90582714
56, Ba, 138, 137.905247
57, La, 138, 137.9071149
57, La, 139, 138.9063563
58, Ce, 136, 135.90712921
